Iteration	Posterior	Likelihood	Prior	sigma2
3630	-65.09284	-69.73212	4.639277	0.003221562
3640	-66.99607	-71.27734	4.281273	0.004608348
3650	-64.42722	-68.99167	4.564456	0.003471848
3660	-64.93994	-69.56689	4.626952	0.003261512
3670	-64.32214	-68.84874	4.5266	0.003605799
3680	-65.13179	-69.52203	4.390241	0.00413258
3690	-64.32925	-68.86217	4.532927	0.003583055
3700	-64.39152	-68.87255	4.481033	0.003773903
3710	-64.80814	-69.42313	4.614991	0.003300759
3720	-64.44507	-69.01311	4.568045	0.003459408
3730	-64.72365	-69.15233	4.428684	0.003976726
3740	-65.28686	-69.94007	4.65321	0.003176985
3750	-65.23885	-69.88876	4.64991	0.003187489
3760	-66.41657	-70.72608	4.309508	0.004480055
3770	-64.43129	-68.903	4.471706	0.003809267
3780	-64.90167	-69.5253	4.623627	0.003272374
3790	-65.143	-69.53234	4.389338	0.004136315
3800	-64.47032	-68.93436	4.464048	0.00383855
3810	-64.54482	-68.99658	4.451757	0.003886021
3820	-65.22299	-69.87179	4.648799	0.003191031
3830	-64.32862	-68.83381	4.505187	0.003683842
3840	-64.34404	-68.84075	4.496716	0.00371518
3850	-65.40153	-70.06229	4.660763	0.00315308
3860	-66.85899	-71.14666	4.287674	0.004578948
3870	-65.10786	-69.50005	4.392189	0.004124537
3880	-64.34125	-68.88085	4.5396	0.003559225
3890	-64.55652	-69.00654	4.45002	0.003892777
3900	-64.68563	-69.2879	4.602265	0.00334303
3910	-64.32271	-68.83314	4.510426	0.003664594
3920	-64.832	-69.24913	4.41713	0.004022938
3930	-67.43588	-72.19163	4.755745	0.002867379
3940	-64.38415	-68.86717	4.48302	0.003766413
3950	-65.0731	-69.71087	4.637762	0.003226446
3960	-64.32517	-68.83311	4.507943	0.003673701
3970	-64.43706	-69.00353	4.566469	0.003464865
3980	-64.32307	-68.83309	4.510027	0.003666054
3990	-64.40691	-68.88409	4.477182	0.003788463
4000	-66.1362	-70.83764	4.701439	0.003027401
4010	-64.32625	-68.85693	4.530682	0.003591109
4020	-65.49325	-69.85684	4.363589	0.004244203
4030	-65.35588	-69.72906	4.373182	0.004203684
4040	-64.34543	-68.88689	4.541461	0.003552609
4050	-64.88737	-69.50972	4.622355	0.003276538
4060	-65.09903	-69.73878	4.639748	0.003220045
4070	-64.32681	-68.85794	4.531133	0.003589488
4080	-64.37769	-68.9302	4.5525	0.003513605
4090	-64.33307	-68.83537	4.502295	0.00369451
4100	-64.42365	-68.897	4.473353	0.003802998
4110	-64.50265	-69.08077	4.578127	0.003424707
4120	-64.44033	-68.91016	4.46983	0.003816422
4130	-67.05228	-71.79353	4.741247	0.002909252
