Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
445	1	-64.34863	-68.84339	4.494756	0.003722467
446	0	-64.31907	-68.8377	4.51863	0.00363465
447	1	-64.73853	-69.34652	4.607994	0.003323935
448	0	-64.53696	-68.98991	4.452949	0.003881393
449	1	-64.35021	-68.89363	4.543418	0.003545661
450	0	-64.43696	-68.90748	4.470522	0.003813782
451	1	-64.35402	-68.84666	4.492643	0.003730344
452	0	-64.44524	-69.01332	4.568079	0.003459294
453	1	-64.42894	-68.90115	4.472207	0.003807361
454	0	-66.07694	-70.77547	4.698527	0.003036229
455	1	-65.42413	-70.08633	4.662202	0.003148547
456	0	-64.66514	-69.1007	4.435554	0.003949502
457	1	-64.41884	-68.98151	4.562669	0.003478059
458	0	-64.34718	-68.88938	4.542198	0.00354999
459	1	-67.22952	-71.50023	4.270711	0.004657283
460	0	-64.54259	-69.12678	4.58419	0.003404006
461	1	-64.3384	-68.83779	4.499385	0.003705278
462	0	-64.32222	-68.84893	4.526703	0.003605428
463	1	-64.5562	-69.14233	4.586128	0.003397415
464	0	-64.32222	-68.84893	4.526703	0.003605428
465	1	-64.54064	-69.12455	4.583908	0.003404965
466	0	-64.52182	-69.10293	4.581113	0.003414497
467	1	-66.00541	-70.70035	4.694942	0.003047133
468	0	-64.33619	-68.83672	4.500538	0.003701006
469	1	-64.58596	-69.03179	4.445827	0.003909136
470	0	-65.3835	-69.75471	4.371206	0.004211996
471	1	-65.25329	-69.9042	4.650911	0.003184297
472	0	-64.34478	-68.84117	4.496389	0.003716395
473	1	-64.94443	-69.57176	4.627335	0.003260264
474	0	-65.1216	-69.76304	4.641448	0.003214573
475	1	-64.339	-68.87752	4.538523	0.00356306
476	0	-64.31936	-68.84058	4.521222	0.003625242
477	1	-65.06402	-69.70107	4.637057	0.00322872
478	0	-64.31936	-68.84058	4.521222	0.003625242
479	1	-67.89922	-72.14161	4.242391	0.004791063
480	0	-64.43155	-68.9969	4.565354	0.003468733
481	1	-64.53957	-68.99212	4.45255	0.00388294
482	0	-66.17144	-70.49397	4.322534	0.004422075
483	1	-64.35201	-68.84542	4.493408	0.003727491
484	0	-64.37764	-68.86251	4.484872	0.003759442
485	1	-64.87175	-69.4927	4.620948	0.003281154
486	0	-64.37566	-68.86111	4.485455	0.003757252
487	1	-65.46282	-69.82849	4.365666	0.004235398
488	0	-65.91551	-70.60583	4.69032	0.003061248
489	1	-66.13889	-70.46321	4.324323	0.004414172
490	0	-65.90099	-70.23887	4.337881	0.004354729
491	1	-66.21313	-70.5334	4.320264	0.004432125
492	0	-64.86365	-69.27764	4.413984	0.004035614
493	1	-65.23965	-69.62143	4.381782	0.004167684
494	0	-64.31982	-68.84249	4.522678	0.003619966
495	1	-65.46141	-69.82717	4.365763	0.004234986
496	0	-64.31931	-68.84035	4.521037	0.003625911
497	1	-65.35481	-69.72807	4.373259	0.00420336
498	0	-65.23342	-69.61568	4.382258	0.004165703
499	1	-64.59648	-69.04087	4.444383	0.003914785
500	0	-65.02332	-69.65716	4.633846	0.003239104
501	1	-64.32229	-68.83322	4.51093	0.003662745
502	0	-65.08905	-69.48279	4.393741	0.004118143
503	1	-64.48766	-69.06334	4.57568	0.003433098
504	0	-64.92436	-69.54997	4.625612	0.003265887
505	1	-64.41099	-68.97192	4.560923	0.003484136
506	0	-65.59995	-69.95645	4.3565	0.004274396
507	1	-64.38395	-68.86702	4.483078	0.003766196
508	0	-64.86642	-69.28013	4.413714	0.004036706
509	1	-65.6949	-70.04532	4.350424	0.004300448
510	0	-64.32009	-68.84342	4.523327	0.003617619
511	1	-65.53813	-69.8987	4.360572	0.004257028
512	0	-64.86781	-69.28139	4.413577	0.004037257
513	1	-64.40843	-68.96877	4.560337	0.003486177
